"_univ-rank","d-none src","logo-wrapper src","uni-link","uni-link href","location","qs-stars-font","btn","overall-score-span","_addShortText"
"1","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg","Massachusetts Institute of Technology (MIT)","https://www.topuniversities.com/universities/massachusetts-institute-technology-mit","Cambridge,  United States","QS Stars","More Details","100","Shortlist"
"2","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/240430033452pm869301QS-Imperial-Logo-white-text-blue-background-48x48.jpg","Imperial College London","https://www.topuniversities.com/universities/imperial-college-london","London,  United Kingdom","QS Stars","More Details","98.5","Shortlist"
"3","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg","University of Oxford","https://www.topuniversities.com/universities/university-oxford","Oxford,  United Kingdom","QS Stars","More Details","96.9","Shortlist"
"4","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg","Harvard University","https://www.topuniversities.com/universities/harvard-university","Cambridge,  United States","QS Stars","More Details","96.8","Shortlist"
"5","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg","University of Cambridge","https://www.topuniversities.com/universities/university-cambridge","Cambridge,  United Kingdom","QS Stars","More Details","96.7","Shortlist"
"6","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg","Stanford University","https://www.topuniversities.com/universities/stanford-university","Stanford,  United States","QS Stars","More Details","96.1","Shortlist"
"7","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg","ETH Zurich","https://www.topuniversities.com/universities/eth-zurich","Zürich,  Switzerland","QS Stars","More Details","93.9","Shortlist"
"8","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg","National University of Singapore (NUS)","https://www.topuniversities.com/universities/national-university-singapore-nus","Singapore,  Singapore","QS Stars","More Details","93.7","Shortlist"
"9","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/240209111134am850728QS-UCL-icon-48x48.jpg","UCL","https://www.topuniversities.com/universities/ucl","London,  United Kingdom","QS Stars","More Details","91.6","Shortlist"
"10","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg","California Institute of Technology (Caltech)","https://www.topuniversities.com/universities/california-institute-technology-caltech","Pasadena,  United States","QS Stars","More Details","90.9","Shortlist"
"11","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg","University of Pennsylvania","https://www.topuniversities.com/universities/university-pennsylvania","Philadelphia,  United States","QS Stars","More Details","90.3","Shortlist"
